Epoch,Step,Loss,Accuracy,Validation Accuracy
1,0,4.5338,0.0312,19:57:57
1,10,4.5391,0.0000,18:04:38
1,20,4.5592,0.0312,20:37:37
1,30,4.5478,0.0000,21:27:15
1,40,4.5777,0.0000,22:27:14
1,50,4.5353,0.0000,21:56:34
1,60,4.5350,0.0625,21:12:21
1,70,4.5839,0.0312,13:24:42
1,80,4.6263,0.0000,05:57:50
1,90,4.5996,0.0000,20:47:21
1,100,4.6095,0.0000,02:48:53
1,110,4.6580,0.0000,23:56:03
1,120,4.6226,0.0312,05:22:32
1,130,4.5992,0.0312,00:00:41
1,140,4.6334,0.0000,01:38:26
1,150,4.6280,0.0312,03:07:53
1,160,4.6498,0.0000,05:45:51
1,170,4.6537,0.0000,09:42:25
1,180,4.5990,0.0000,13:08:53
1,190,4.5765,0.0000,11:50:20
1,200,4.5601,0.0000,07:13:22
1,210,4.5727,0.0312,10:45:27
1,220,4.6004,0.0000,04:15:09
1,230,4.5760,0.0312,12:57:11
1,240,4.5594,0.0938,10:37:30
1,250,4.5035,0.0938,03:40:11
1,260,4.4815,0.1875,04:38:52
1,270,4.5220,0.0625,03:48:03
1,280,4.5677,0.0625,04:04:50
1,290,4.5468,0.0625,09:27:55
1,300,4.5778,0.0938,14:28:06
