Epoch,Step,Loss,Accuracy,Validation Accuracy
1,0,4.7449,0.0000,03:01:59
1,10,4.4233,0.2188,23:55:19
1,20,4.2064,0.5000,22:33:20
1,30,3.9833,0.4062,20:02:11
1,40,3.9462,0.3438,16:39:52
1,50,3.8211,0.3125,02:33:34
1,60,3.6831,0.3750,01:43:59
1,70,3.4000,0.3750,20:21:50
1,80,3.7666,0.0938,07:36:03
1,90,3.6762,0.0938,11:25:35
1,100,3.8197,0.1875,11:38:50
1,110,3.2881,0.2188,08:55:32
1,120,3.8091,0.1875,09:41:17
1,130,3.3496,0.2500,09:23:35
1,140,3.4780,0.0312,16:47:55
1,150,3.2845,0.2188,15:37:08
1,160,2.9427,0.5000,13:35:06
1,170,3.2028,0.4062,06:53:51
1,180,3.2894,0.2500,14:40:37
1,190,4.7859,0.1250,12:25:24
1,200,4.6261,0.1562,09:40:28
1,210,3.8343,0.3125,13:23:07
1,220,4.4536,0.0938,11:58:07
1,230,3.5797,0.0938,13:56:44
1,240,4.0304,0.0625,11:51:14
1,250,3.4762,0.1875,13:09:49
1,260,3.5506,0.2188,06:14:47
1,270,3.6789,0.1875,13:19:37
1,280,3.8405,0.1562,13:41:43
1,290,3.8672,0.1250,15:42:42
1,300,3.6607,0.0312,11:12:24
1,310,3.8293,0.2500,12:36:38
1,320,4.1370,0.1250,10:45:32
1,330,3.5261,0.2812,11:54:45
1,340,3.3776,0.2500,11:05:41
1,350,3.6594,0.1562,09:24:09
1,360,3.8328,0.2500,11:08:55
1,370,3.7657,0.0938,15:07:46
1,380,4.0216,0.1562,10:23:53
1,390,3.3751,0.3750,12:09:50
1,400,3.5573,0.2188,11:44:06
1,410,3.0568,0.2188,12:38:35
1,420,3.5984,0.2188,10:45:36
1,430,3.8039,0.2188,11:01:49
1,440,3.2505,0.4375,12:40:11
1,450,3.4271,0.5312,08:55:52
1,460,3.6222,0.1875,12:44:00
1,470,3.7704,0.1562,13:09:33
1,480,3.3290,0.2188,09:32:12
1,490,3.1807,0.3125,10:39:27
1,500,3.4658,0.3125,12:06:30
1,510,4.2662,0.1562,11:04:00
1,520,4.0585,0.1875,13:38:17
1,530,4.1568,0.1250,09:02:54
1,540,4.5459,0.0938,14:08:07
1,550,4.0031,0.0938,11:33:53
1,560,3.6272,0.2500,18:59:33
1,570,3.8906,0.3125,09:09:18
1,580,4.2874,0.1562,10:17:16
1,590,3.7088,0.1250,10:39:27
1,600,3.7783,0.1250,09:44:20
1,610,4.5917,0.0625,08:49:54
1,620,4.3490,0.0938,11:54:00
1,630,4.0169,0.0938,11:50:37
1,640,4.0438,0.0312,12:08:46
1,650,3.9093,0.2500,07:09:47
1,660,4.1738,0.1250,11:50:41
1,670,4.3968,0.0625,12:32:34
1,680,4.3793,0.0938,10:56:59
1,690,4.3405,0.0625,12:16:18
1,700,4.6420,0.0312,11:49:01
1,710,4.5180,0.0312,09:48:18
1,720,4.3146,0.0000,13:37:55
1,730,4.5653,0.0000,13:14:13
1,740,4.0136,0.1250,09:48:42
1,750,3.7458,0.2500,07:41:18
1,760,4.1707,0.2188,09:57:34
1,770,3.8173,0.2188,08:31:54
1,780,3.6796,0.2500,14:01:10
1,790,3.9162,0.2188,11:51:18
1,800,3.3879,0.3750,11:25:43
1,810,4.4265,0.2500,13:42:51
1,820,3.7533,0.2500,07:44:54
1,830,4.0641,0.0938,11:33:38
1,840,4.4564,0.1250,10:57:46
1,850,4.2325,0.1250,13:16:42
1,860,4.3509,0.0625,13:35:44
1,870,4.2716,0.0938,12:19:47
1,880,4.1219,0.0938,11:47:22
1,890,4.2929,0.0625,15:53:06
1,900,4.2905,0.1250,14:28:36
1,910,4.3955,0.2500,12:37:34
1,920,4.5704,0.0312,10:40:19
1,930,3.9772,0.2812,11:30:07
1,940,4.3219,0.1250,15:56:10
1,950,3.7825,0.1875,12:03:31
1,960,3.9766,0.1562,12:13:42
1,970,4.4382,0.0625,11:15:21
1,980,4.1288,0.1875,13:37:28
1,990,4.5509,0.1250,16:36:40
1,1000,4.0834,0.2188,12:28:21
1,1010,4.4983,0.0938,13:26:48
1,1020,5.0429,0.0000,11:08:48
1,1030,4.9293,0.0000,14:25:32
1,1040,4.7603,0.0000,15:42:10
1,1050,4.4447,0.0000,14:05:01
1,1060,4.6176,0.0312,13:40:06
1,1070,4.4195,0.1562,11:50:49
1,1080,4.4634,0.1875,13:28:02
1,1090,4.5429,0.0625,13:52:49
1,1100,4.1687,0.1562,12:06:52
1,1110,4.3478,0.0000,09:37:30
1,1120,4.6601,0.0625,07:28:21
1,1130,4.4618,0.0312,08:06:45
1,1140,4.6714,0.0625,10:29:02
1,1150,4.6613,0.0938,06:14:13
1,1160,4.4511,0.0312,09:36:42
1,1170,4.5921,0.0000,08:18:45
1,1180,4.5206,0.0000,10:18:38
1,1190,4.6013,0.0938,09:42:39
1,1200,4.5870,0.1250,11:30:29
1,1210,4.3927,0.1250,09:32:03
1,1220,4.5657,0.0625,13:20:49
1,1230,4.3546,0.1250,08:42:27
1,1240,4.4629,0.0625,08:27:39
1,1250,4.5554,0.0625,09:52:04
1,1260,4.6306,0.0312,10:18:30
1,1270,4.7524,0.0000,08:57:53
1,1280,4.3971,0.0312,08:53:22
1,1290,4.4969,0.0312,10:41:13
1,1300,4.4612,0.0000,09:17:13
1,1310,4.6116,0.0000,10:25:43
1,1320,4.6631,0.0000,13:50:07
1,1330,4.6633,0.0000,11:20:29
1,1340,4.5844,0.0312,14:33:33
1,1350,4.4871,0.0000,10:42:00
1,1360,4.6041,0.0312,10:48:56
1,1370,4.5049,0.0000,15:32:50
1,1380,4.4989,0.0000,12:09:32
1,1390,4.4292,0.0938,08:52:10
1,1400,4.5270,0.0312,09:10:43
1,1410,4.7290,0.0312,14:47:26
1,1420,4.6982,0.0312,09:16:14
1,1430,4.5462,0.0312,09:39:30
1,1440,4.6411,0.0312,10:53:58
1,1450,4.7394,0.0000,16:04:25
1,1460,4.7271,0.0000,10:31:55
1,1470,4.6861,0.0312,07:51:03
1,1480,4.6942,0.0000,07:54:19
1,1490,4.7127,0.0000,07:01:19
1,1500,4.7248,0.0000,09:32:07
1,1510,4.6747,0.0000,08:45:58
1,1520,4.6732,0.0000,08:11:09
1,1530,4.6299,0.0000,09:41:36
1,1540,4.6348,0.0000,09:29:45
1,1550,4.6621,0.0000,12:35:32
1,1560,4.6441,0.0000,08:45:47
1,1570,4.6190,0.0000,08:07:25
1,1580,4.6551,0.0000,10:30:14
1,1590,4.6230,0.0000,07:35:37
1,1600,4.6096,0.0000,09:28:12
1,1610,4.5152,0.0000,12:38:30
1,1620,4.5452,0.0000,07:33:05
1,1630,4.5991,0.0625,09:12:38
1,1640,4.7956,0.0000,12:12:43
1,1650,4.7434,0.0000,11:14:57
1,1660,4.6742,0.0625,11:44:09
1,1670,4.7754,0.0312,11:22:16
1,1680,4.7350,0.0000,09:39:46
1,1690,4.7104,0.0000,08:58:49
1,1700,4.5980,0.0000,09:02:05
1,1710,4.6292,0.0000,09:29:22
1,1720,4.5297,0.0000,11:37:20
1,1730,4.4990,0.0312,10:23:47
1,1740,4.6126,0.0625,09:29:00
1,1750,4.8224,0.0000,10:38:16
1,1760,4.7011,0.0000,12:46:43
1,1770,4.6221,0.0000,15:12:10
1,1780,4.6966,0.0000,09:31:10
1,1790,4.6908,0.0000,07:37:33
1,1800,4.7088,0.0000,07:34:07
1,1810,4.6581,0.0000,08:56:18
1,1820,4.5777,0.0312,09:33:15
1,1830,4.5709,0.0000,07:14:35
1,1840,4.5849,0.0000,12:51:38
1,1850,4.6466,0.0000,11:47:38
1,1860,4.6344,0.0000,10:21:31
1,1870,4.7185,0.0000,09:41:39
1,1880,4.6274,0.0000,12:12:13
1,1890,4.7760,0.0000,10:56:44
1,1900,4.6928,0.0000,09:15:39
1,1910,4.7509,0.0000,09:16:11
1,1920,4.6965,0.0000,08:16:33
1,1930,4.7083,0.0000,07:22:18
1,1940,4.6622,0.0000,07:41:14
1,1950,4.7075,0.0000,08:43:21
1,1960,4.6536,0.0000,07:18:54
1,1970,4.7203,0.0000,11:10:13
1,1980,4.7464,0.0000,10:51:21
1,1990,4.6768,0.0000,11:10:18
1,2000,4.8098,0.0000,08:15:07
1,2010,4.7056,0.0000,14:22:25
1,2020,4.6715,0.0000,11:40:11
1,2030,4.6804,0.0000,09:17:37
1,2040,4.7090,0.0000,05:36:02
1,2050,4.7396,0.0000,10:34:18
1,2060,4.7631,0.0000,04:44:21
1,2070,4.7386,0.0000,09:23:56
1,2080,4.7355,0.0000,09:04:02
1,2090,4.7185,0.0000,06:06:25
1,2100,4.7024,0.0000,08:44:35
1,2110,4.7144,0.0000,09:14:02
