Epoch,Step,Loss,Accuracy,Validation Accuracy
1,0,4.6741,0.0000,16:26:14
1,10,4.4075,0.2500,22:53:02
1,20,4.3134,0.4062,06:13:29
1,30,4.1369,0.3750,07:44:08
1,40,3.7402,0.3438,15:41:53
1,50,4.0722,0.1875,01:50:22
1,60,3.7200,0.0625,02:24:15
1,70,3.7855,0.2188,22:53:06
1,80,4.2259,0.1250,18:54:41
1,90,4.4333,0.0938,14:06:29
1,100,3.7345,0.2812,22:35:31
1,110,4.1632,0.0625,04:19:32
1,120,3.7324,0.2500,05:54:53
1,130,3.8712,0.1250,05:10:13
1,140,3.7564,0.1250,01:49:57
1,150,3.2291,0.3750,08:59:28
1,160,3.0521,0.2812,04:06:29
1,170,3.0724,0.3438,18:49:33
1,180,2.8114,0.2500,17:40:15
1,190,3.0010,0.4062,18:21:14
1,200,3.8550,0.3125,22:38:50
1,210,4.4394,0.1875,21:47:25
1,220,4.5441,0.0938,22:33:56
1,230,3.6313,0.2188,09:31:57
1,240,4.1280,0.0938,21:05:20
1,250,3.6166,0.0625,01:37:54
1,260,4.2129,0.1250,00:30:48
1,270,3.7882,0.1875,22:01:44
1,280,3.7946,0.1875,01:39:06
1,290,4.0932,0.1875,05:25:09
1,300,3.4872,0.2188,01:54:23
1,310,3.8811,0.2500,04:30:38
1,320,3.7030,0.1875,05:17:33
1,330,3.7837,0.1250,07:18:08
1,340,3.9877,0.1250,04:19:58
1,350,3.5553,0.1875,05:17:05
1,360,3.9836,0.1562,09:49:14
1,370,3.7053,0.0938,06:42:42
1,380,3.6420,0.1250,00:46:05
1,390,3.2343,0.3438,01:31:55
1,400,3.4968,0.1250,07:38:53
1,410,3.2926,0.3125,04:39:40
1,420,3.7640,0.1875,06:53:35
1,430,4.2814,0.2812,01:44:05
1,440,3.3112,0.1875,04:13:50
1,450,4.1802,0.1250,00:32:10
1,460,3.5678,0.1875,06:28:12
1,470,3.4232,0.3125,14:26:25
1,480,3.5819,0.1875,10:44:59
1,490,3.8637,0.2188,03:38:47
1,500,3.8703,0.0625,09:32:03
1,510,3.8827,0.2188,07:11:19
1,520,4.4597,0.2188,07:58:36
1,530,4.0010,0.1875,00:58:43
1,540,5.1885,0.1562,00:34:47
1,550,4.4447,0.0312,08:51:30
1,560,3.8955,0.0938,09:12:53
1,570,3.5003,0.2500,21:28:02
1,580,3.8111,0.2188,06:30:32
1,590,4.1910,0.1562,23:28:47
1,600,3.7738,0.2500,14:24:13
1,610,3.5974,0.1562,06:22:02
1,620,3.8544,0.1875,08:47:21
1,630,3.7094,0.2188,14:01:55
1,640,4.0173,0.3125,07:24:56
1,650,3.9509,0.2500,06:04:14
1,660,4.1372,0.0938,07:32:16
1,670,4.0796,0.1250,14:35:10
1,680,4.3367,0.0312,13:29:04
1,690,4.0348,0.1562,03:50:56
1,700,4.2903,0.0312,07:40:35
1,710,4.5444,0.0625,03:15:02
1,720,4.3282,0.0938,02:26:24
1,730,3.7798,0.1875,07:47:55
1,740,4.0559,0.0938,06:48:17
1,750,3.9849,0.0625,09:16:15
1,760,3.4105,0.3125,18:36:31
1,770,3.4443,0.2812,00:30:27
1,780,3.9972,0.3125,00:10:20
1,790,3.2570,0.3750,04:06:14
1,800,4.5999,0.0938,21:27:51
1,810,4.2708,0.1562,01:07:56
1,820,3.6860,0.2500,04:03:43
1,830,4.2097,0.1562,01:47:39
1,840,4.1651,0.1250,09:06:44
1,850,4.1732,0.0625,22:03:13
1,860,3.9529,0.2188,07:30:46
1,870,4.3354,0.1250,02:48:48
1,880,4.7612,0.0625,23:42:16
1,890,4.3820,0.0312,07:25:32
1,900,4.1786,0.0938,05:36:21
1,910,4.1752,0.0625,09:22:04
1,920,4.2013,0.1250,05:31:53
1,930,4.1817,0.0625,04:48:24
1,940,4.6461,0.1250,07:20:35
1,950,4.3265,0.2188,08:14:13
1,960,3.8917,0.1875,05:54:42
1,970,4.3631,0.1250,07:12:24
1,980,4.8395,0.1250,08:23:58
1,990,4.6010,0.0938,07:09:04
1,1000,4.7701,0.0000,10:35:38
1,1010,4.6260,0.0000,04:51:09
1,1020,4.4305,0.0938,01:21:41
1,1030,4.2479,0.0000,04:47:35
1,1040,4.3872,0.0312,11:39:06
1,1050,4.2121,0.0000,11:20:39
1,1060,4.1873,0.0938,08:09:57
1,1070,4.1489,0.1250,09:00:54
1,1080,4.4529,0.1250,03:51:54
1,1090,4.2038,0.1250,06:25:28
1,1100,4.5399,0.0938,09:24:09
1,1110,4.5281,0.0938,07:43:29
1,1120,4.2715,0.0625,09:09:01
1,1130,4.4433,0.1875,05:17:28
1,1140,4.0991,0.1250,06:08:23
1,1150,4.0665,0.2812,08:19:56
1,1160,4.7224,0.0000,02:24:31
1,1170,4.8552,0.0625,05:37:33
1,1180,4.8355,0.0625,08:42:12
1,1190,4.5903,0.0312,03:36:22
1,1200,4.6639,0.0312,02:03:53
1,1210,4.5534,0.0938,05:48:33
1,1220,4.8004,0.0000,07:17:47
1,1230,5.0212,0.0312,09:30:17
1,1240,4.5050,0.1250,08:47:58
1,1250,4.5568,0.0000,05:54:54
1,1260,4.2764,0.0312,11:15:51
1,1270,4.4658,0.0312,03:07:09
1,1280,4.2497,0.0625,05:27:13
1,1290,4.2899,0.0625,01:34:41
1,1300,4.9108,0.0000,13:01:08
1,1310,4.8998,0.0625,09:23:12
1,1320,4.6573,0.0000,08:25:09
1,1330,4.6436,0.0312,02:17:47
1,1340,4.4197,0.0000,16:32:15
1,1350,4.3584,0.0625,13:32:38
1,1360,4.6170,0.0312,10:43:49
1,1370,4.3948,0.0938,14:18:37
1,1380,4.4787,0.0625,09:23:00
1,1390,4.2472,0.1875,09:42:28
1,1400,4.1879,0.0938,05:50:12
1,1410,4.2038,0.0625,03:09:19
1,1420,4.2042,0.1250,05:47:58
1,1430,4.3428,0.2188,03:00:02
1,1440,4.1484,0.1562,03:50:37
1,1450,4.4061,0.1250,03:51:09
1,1460,4.3492,0.1875,05:05:00
1,1470,4.5105,0.1250,05:11:10
1,1480,4.3030,0.0938,05:58:07
1,1490,4.5451,0.0312,04:16:51
1,1500,4.4556,0.0625,05:44:01
1,1510,4.5376,0.0000,04:02:34
1,1520,4.6194,0.0312,04:48:48
1,1530,4.5478,0.0312,01:52:41
1,1540,4.5342,0.0312,02:20:36
1,1550,4.4676,0.0312,07:01:48
1,1560,4.7000,0.0625,01:43:23
1,1570,4.4932,0.0312,02:26:32
1,1580,4.5263,0.0000,02:26:21
1,1590,4.3103,0.0312,00:20:03
1,1600,4.5827,0.0938,00:33:08
1,1610,4.3956,0.1562,01:11:03
1,1620,4.2685,0.1562,04:04:37
1,1630,4.6742,0.0000,04:57:46
1,1640,4.5998,0.0625,03:05:55
1,1650,4.5946,0.0000,05:02:41
1,1660,4.7365,0.0312,03:48:38
1,1670,4.7356,0.0625,06:01:25
1,1680,4.2792,0.1250,04:56:34
1,1690,4.6035,0.0000,07:00:34
1,1700,4.4979,0.0000,04:50:34
1,1710,4.3690,0.0625,05:28:40
1,1720,4.7401,0.0000,09:17:25
1,1730,4.4986,0.0625,07:51:29
1,1740,4.8691,0.0625,07:43:32
1,1750,4.7399,0.0625,02:52:56
1,1760,4.6097,0.1250,04:44:48
1,1770,4.6649,0.0312,13:15:24
1,1780,4.8342,0.0000,06:55:40
1,1790,4.5883,0.0312,10:42:17
1,1800,4.7326,0.0000,15:22:06
1,1810,4.7087,0.0312,10:09:24
1,1820,4.6440,0.0625,09:20:00
1,1830,4.6601,0.0000,08:08:58
1,1840,4.6034,0.0000,06:50:46
1,1850,4.6119,0.0000,03:58:02
1,1860,4.6045,0.0000,09:10:41
1,1870,4.5984,0.0000,02:58:32
1,1880,4.6150,0.0000,04:37:03
1,1890,4.5693,0.0000,04:27:27
1,1900,4.6515,0.0000,04:07:21
1,1910,4.5661,0.0312,08:58:20
1,1920,4.6616,0.0000,03:27:33
1,1930,4.7466,0.0000,04:09:30
1,1940,4.8085,0.0000,18:08:21
1,1950,4.6563,0.0000,07:47:15
1,1960,4.5822,0.0000,02:41:04
1,1970,4.6407,0.0000,05:12:14
1,1980,4.6949,0.0000,06:39:42
1,1990,4.7720,0.0000,09:26:23
1,2000,4.8110,0.0000,05:41:05
1,2010,4.7100,0.0000,05:33:24
1,2020,4.6429,0.0000,04:50:14
1,2030,4.6289,0.0000,05:40:57
1,2040,4.6583,0.0000,03:55:12
1,2050,4.6348,0.0000,04:09:14
1,2060,4.4700,0.0000,06:46:26
1,2070,4.2773,0.0000,06:17:32
1,2080,4.2585,0.1250,06:22:45
1,2090,4.5900,0.0625,11:23:04
1,2100,4.4286,0.1562,04:34:37
