Epoch,Step,Loss,Accuracy,Validation Accuracy
1,0,4.5026,0.0312,04:47:36
1,10,4.2074,0.4062,23:01:58
1,20,3.8855,0.5312,01:46:35
1,30,3.7092,0.4688,02:30:46
1,40,3.8094,0.2812,03:56:20
1,50,3.3723,0.2500,03:32:12
1,60,3.4316,0.3438,04:55:21
1,70,3.5895,0.1875,00:23:52
1,80,3.5505,0.2500,02:46:27
1,90,3.9902,0.1562,02:04:51
1,100,3.9110,0.1250,03:11:33
1,110,4.1418,0.1250,07:06:18
1,120,3.9162,0.1250,08:03:47
1,130,3.7328,0.2812,06:55:23
1,140,3.7152,0.1562,07:15:31
1,150,3.3972,0.3125,07:46:16
1,160,3.3774,0.2188,03:09:06
1,170,3.3398,0.3125,10:15:30
1,180,3.3802,0.2500,07:39:22
1,190,3.6757,0.1875,05:27:49
1,200,4.3458,0.0000,11:59:56
1,210,3.6004,0.1250,08:40:22
1,220,4.2506,0.1250,08:51:07
1,230,3.7646,0.0938,07:45:07
1,240,4.4561,0.1250,12:17:49
1,250,4.2487,0.1250,06:13:14
1,260,4.1716,0.0625,09:55:16
1,270,4.0773,0.1562,08:01:59
1,280,3.5036,0.2188,04:31:53
1,290,3.7104,0.2500,02:15:47
1,300,3.6034,0.2188,04:16:53
1,310,3.7350,0.2812,04:10:21
1,320,3.9160,0.1875,04:11:49
1,330,3.8037,0.2188,04:46:42
1,340,3.7981,0.0625,03:55:48
1,350,3.4987,0.2500,02:30:48
1,360,3.9165,0.1562,03:14:14
1,370,3.8871,0.1250,04:40:25
1,380,4.1423,0.1562,03:43:22
1,390,3.8538,0.0938,04:18:15
1,400,4.0050,0.2500,03:41:51
1,410,3.5877,0.1562,02:52:31
1,420,3.9367,0.1562,03:44:58
1,430,4.1810,0.1562,02:59:42
1,440,4.0566,0.1562,03:07:17
1,450,4.2287,0.0938,03:45:06
1,460,4.1271,0.1875,05:27:59
1,470,3.5384,0.2188,01:51:59
1,480,3.9977,0.2188,02:23:48
1,490,4.5062,0.1562,03:34:12
1,500,4.4447,0.1562,02:27:56
1,510,4.3221,0.0938,03:32:30
1,520,4.0829,0.1562,03:37:09
1,530,4.1581,0.1562,02:43:54
1,540,4.1297,0.0938,02:33:38
1,550,4.1574,0.0312,03:21:48
1,560,3.1821,0.4062,03:30:50
1,570,3.4139,0.3125,03:41:03
1,580,3.8429,0.2188,02:15:29
1,590,4.2152,0.2188,02:43:04
1,600,4.4506,0.1250,04:19:57
1,610,4.4523,0.1562,07:34:36
1,620,4.3516,0.2188,04:51:25
1,630,4.1589,0.1250,01:48:45
1,640,4.3453,0.0000,03:33:08
1,650,4.2909,0.0312,01:52:42
1,660,4.6860,0.1250,03:29:17
1,670,4.3488,0.0312,03:48:27
1,680,4.4901,0.1250,05:44:52
1,690,4.5654,0.0312,02:18:56
1,700,4.5794,0.0625,03:18:43
1,710,4.7201,0.0000,03:01:56
1,720,4.5215,0.0312,01:32:30
1,730,4.9097,0.0000,01:42:59
1,740,4.5264,0.0312,01:46:50
1,750,4.4730,0.0000,03:28:46
1,760,4.3727,0.0938,03:48:42
1,770,4.4161,0.0312,03:24:20
1,780,4.2391,0.1250,03:25:25
1,790,4.2169,0.2188,03:15:34
1,800,4.1222,0.3125,03:39:01
1,810,4.0550,0.1562,02:54:56
1,820,4.1835,0.0938,01:31:58
1,830,4.1371,0.1250,03:23:30
1,840,4.3626,0.0938,03:14:27
1,850,4.5396,0.0312,04:18:29
1,860,4.5926,0.0312,03:27:27
1,870,4.4815,0.0625,03:30:48
1,880,4.5289,0.0312,03:07:33
1,890,4.3691,0.0938,03:18:46
1,900,4.3271,0.0938,03:16:33
1,910,4.3001,0.0625,02:27:47
1,920,4.1745,0.2500,03:52:42
1,930,3.8394,0.2188,03:11:15
1,940,4.0753,0.0625,03:27:43
1,950,3.8354,0.1875,03:12:11
1,960,3.8563,0.2500,02:12:50
1,970,4.3260,0.0938,04:28:28
1,980,4.3828,0.0938,03:15:56
1,990,4.6571,0.0938,01:31:15
1,1000,4.5232,0.0938,02:22:15
1,1010,4.3614,0.0000,12:26:09
1,1020,4.6426,0.0000,06:05:37
1,1030,4.5176,0.0000,05:48:10
1,1040,4.3840,0.0312,06:52:26
1,1050,4.1975,0.0938,11:51:49
1,1060,4.1694,0.1875,06:39:53
1,1070,3.7549,0.2188,11:03:01
1,1080,4.1118,0.1562,06:29:45
1,1090,4.1647,0.2500,11:34:00
1,1100,4.1064,0.1562,05:36:29
1,1110,3.8987,0.2188,11:24:53
1,1120,4.3898,0.0625,06:19:42
1,1130,4.2912,0.0312,08:21:05
1,1140,4.0957,0.1875,09:55:17
1,1150,4.6391,0.0938,05:32:10
1,1160,4.4185,0.0312,03:48:00
1,1170,4.7921,0.0938,13:37:42
1,1180,4.8023,0.0312,06:03:21
1,1190,4.8175,0.0000,08:21:02
1,1200,4.7252,0.0312,15:27:04
1,1210,4.8031,0.0312,04:38:17
1,1220,4.6933,0.0000,14:03:59
1,1230,4.6551,0.0000,04:40:50
1,1240,4.5267,0.0000,03:52:34
1,1250,4.5623,0.0625,11:12:42
1,1260,4.5024,0.0312,09:40:22
1,1270,4.4639,0.0000,12:18:44
1,1280,4.3242,0.0312,08:55:52
1,1290,4.3626,0.0625,07:04:29
1,1300,4.4965,0.0938,03:56:30
1,1310,4.3566,0.1250,08:29:21
1,1320,4.6051,0.2188,07:07:56
1,1330,4.8623,0.0000,05:12:46
1,1340,4.3658,0.1250,07:59:47
1,1350,4.6283,0.0000,07:14:22
1,1360,4.6761,0.0938,09:54:26
1,1370,4.5582,0.0312,06:55:43
1,1380,4.5721,0.0000,10:55:21
1,1390,4.4557,0.0312,06:50:44
1,1400,4.3307,0.0625,03:32:20
1,1410,4.3983,0.0312,07:27:01
1,1420,4.5096,0.0938,09:11:38
1,1430,4.5918,0.0312,09:56:03
1,1440,4.4993,0.0000,10:26:25
1,1450,4.3450,0.0625,07:46:57
1,1460,4.6221,0.0000,12:34:23
1,1470,4.4657,0.0000,05:27:37
1,1480,4.4826,0.1250,11:40:32
